Model Name,Forecast (Next Week),Last Week Period,Last Week Estimate,Actual Last Week,4-Week MAE
XGBoost_East_strict,DATA N/A,2025-06-21 to 2025-06-27,22.66,13.00,14.24
XGBoost_East_flexible,DATA N/A,2025-06-20 to 2025-06-26,18.05,13.00,9.77
XGBoost_Midwest_strict,DATA N/A,2025-06-21 to 2025-06-27,26.05,23.00,14.27
XGBoost_Midwest_flexible,DATA N/A,2025-06-20 to 2025-06-26,27.81,23.00,13.64
XGBoost_Mountain_strict,DATA N/A,2025-06-21 to 2025-06-27,6.36,5.00,4.26
XGBoost_Mountain_flexible,DATA N/A,2025-06-20 to 2025-06-26,6.83,5.00,3.93
XGBoost_Pacific_strict,DATA N/A,2025-06-21 to 2025-06-27,2.40,6.00,3.60
XGBoost_Pacific_flexible,DATA N/A,2025-06-20 to 2025-06-26,5.35,6.00,3.63
XGBoost_SouthCentral_strict,DATA N/A,2025-06-21 to 2025-06-27,13.15,8.00,9.04
XGBoost_SouthCentral_flexible,DATA N/A,2025-06-20 to 2025-06-26,12.83,8.00,7.90
