Plant Name,Closest City
Arkansas Nuclear,Little Rock AR
Beaver Valley,Pittsburgh PA
Braidwood,Chicago IL
Browns Ferry,Atlanta GA
Brunswick,Raleigh/Durham NC
Byron,Chicago IL
Callaway,Little Rock AR
Calvert Cliffs,Philadelphia PA
Catawba,Raleigh/Durham NC
Clinton,Chicago IL
Columbia Generating Station,Seattle WA
Comanche Peak,Houston TX
Cooper,Oklahoma City OK
D.C. Cook,Chicago IL
Davis-Besse,Detroit MI
Diablo Canyon,Los Angeles CA
Dresden,Chicago IL
Duane Arnold,Chicago IL
Farley,Atlanta GA
Fermi,Detroit MI
FitzPatrick,Buffalo NY
Fort Calhoun,Oklahoma City OK
Ginna,Buffalo NY
Grand Gulf,New Orleans LA
Harris,Raleigh/Durham NC
Hatch,Atlanta GA
Hope Creek,Philadelphia PA
Indian Point,John F. Kennedy NY
La Salle,Chicago IL
LaSalle,Chicago IL
Limerick,Philadelphia PA
McGuire,Raleigh/Durham NC
Millstone,Boston MA
Monticello,Chicago IL
Nine Mile Point,Buffalo NY
North Anna,Washington National DC
Oconee,Atlanta GA
Oyster Creek,Philadelphia PA
Palisades,Chicago IL
Palo Verde,Los Angeles CA
Peach Bottom,Philadelphia PA
Perry,Detroit MI
Pilgrim,Boston MA
Point Beach,Chicago IL
Prairie Island,Chicago IL
Quad Cities,Chicago IL
River Bend,New Orleans LA
River Bend Station,New Orleans LA
Robinson,Raleigh/Durham NC
Saint Lucie,Tampa FL
Salem,Philadelphia PA
Seabrook,Boston MA
Sequoyah,Atlanta GA
South Texas,Houston TX
Summer,Atlanta GA
Surry,Washington National DC
Susquehanna,Philadelphia PA
Three Mile Island,Philadelphia PA
Turkey Point,Tampa FL
Vermont Yankee,Boston MA
Vogtle,Atlanta GA
Waterford,New Orleans LA
Watts Bar,Atlanta GA
Wolf Creek,Oklahoma City OK
