Group,Units
Arkansas Nuclear,"['Arkansas Nuclear 1', 'Arkansas Nuclear 2']"
Beaver Valley,"['Beaver Valley 1', 'Beaver Valley 2']"
Braidwood,"['Braidwood 1', 'Braidwood 2']"
Browns Ferry,"['Browns Ferry 1', 'Browns Ferry 2', 'Browns Ferry 3']"
Brunswick,"['Brunswick 1', 'Brunswick 2']"
Byron,"['Byron 1', 'Byron 2']"
Callaway,['Callaway']
Calvert Cliffs,"['Calvert Cliffs 1', 'Calvert Cliffs 2']"
Catawba,"['Catawba 1', 'Catawba 2']"
Clinton,['Clinton']
Columbia Generating Station,['Columbia Generating Station']
Comanche Peak,"['Comanche Peak 1', 'Comanche Peak 2']"
Cooper,['Cooper']
D.C. Cook,"['D.C. Cook 1', 'D.C. Cook 2']"
Davis-Besse,['Davis-Besse']
Diablo Canyon,"['Diablo Canyon 1', 'Diablo Canyon 2']"
Dresden,"['Dresden 2', 'Dresden 3']"
Duane Arnold,['Duane Arnold']
Farley,"['Farley 1', 'Farley 2']"
Fermi,['Fermi 2']
FitzPatrick,['FitzPatrick']
Fort Calhoun,['Fort Calhoun']
Ginna,['Ginna']
Grand Gulf,['Grand Gulf 1']
Harris,['Harris 1']
Hatch,"['Hatch 1', 'Hatch 2']"
Hope Creek,['Hope Creek 1']
Indian Point,"['Indian Point 2', 'Indian Point 3']"
La Salle,"['La Salle 1', 'La Salle 2']"
LaSalle,"['LaSalle 1', 'LaSalle 2']"
Limerick,"['Limerick 1', 'Limerick 2']"
McGuire,"['McGuire 1', 'McGuire 2']"
Millstone,"['Millstone 2', 'Millstone 3']"
Monticello,['Monticello']
Nine Mile Point,"['Nine Mile Point 1', 'Nine Mile Point 2']"
North Anna,"['North Anna 1', 'North Anna 2']"
Oconee,"['Oconee 1', 'Oconee 2', 'Oconee 3']"
Oyster Creek,['Oyster Creek']
Palisades,['Palisades']
Palo Verde,"['Palo Verde 1', 'Palo Verde 2', 'Palo Verde 3']"
Peach Bottom,"['Peach Bottom 2', 'Peach Bottom 3']"
Perry,['Perry 1']
Pilgrim,['Pilgrim 1']
Point Beach,"['Point Beach 1', 'Point Beach 2']"
Prairie Island,"['Prairie Island 1', 'Prairie Island 2']"
Quad Cities,"['Quad Cities 1', 'Quad Cities 2']"
River Bend,['River Bend 1']
River Bend Station,['River Bend Station 1']
Robinson,['Robinson 2']
Saint Lucie,"['Saint Lucie 1', 'Saint Lucie 2']"
Salem,"['Salem 1', 'Salem 2']"
Seabrook,['Seabrook 1']
Sequoyah,"['Sequoyah 1', 'Sequoyah 2']"
South Texas,"['South Texas 1', 'South Texas 2']"
Summer,['Summer']
Surry,"['Surry 1', 'Surry 2']"
Susquehanna,"['Susquehanna 1', 'Susquehanna 2']"
Three Mile Island,['Three Mile Island 1']
Turkey Point,"['Turkey Point 3', 'Turkey Point 4']"
Vermont Yankee,['Vermont Yankee']
Vogtle,"['Vogtle 1', 'Vogtle 2', 'Vogtle 3', 'Vogtle 4', 'Vogtle Unit 3']"
Waterford,['Waterford 3']
Watts Bar,"['Watts Bar 1', 'Watts Bar 2']"
Wolf Creek,['Wolf Creek 1']
