WEATHER.csv City,Matched WEATHERforecast.csv City
Atlanta GA,Atlanta GA
Boston MA,Boston MA
Buffalo NY,Buffalo NY
Chicago IL,Chicago Ohare IL
Denver CO,Denver CO
Detroit MI,Detroit MI
Houston TX,Houston IAH TX
John F. Kennedy NY,JFK NY
Little Rock AR,Little Rock AR
Los Angeles CA,Los Angeles CA
New Orleans LA,New Orleans LA
Oklahoma City OK,OK. City OK
Philadelphia PA,Philadelphia PA
Pittsburgh PA,Pittsburgh PA
Raleigh/Durham NC,Ral-Durham NC
San Francisco CA,San Francisco CA
Seattle WA,Seattle WA
Tampa FL,Tampa FL
Washington National DC,Washington DC
